"Timestamp","Intelligence","Combat","Speed","Durability","Strength","Power (Non-physical)",""
"2020/04/13 9:24:17 PM EST","4","","4","3","3","3","3"
"2020/04/13 9:37:21 PM EST","4","5","5","4","5","5",""
"2020/04/13 9:37:21 PM EST","5","5","5","3","4","5",""
"2020/04/13 9:40:53 PM EST","5","2","4","2","2","4",""
"2020/04/13 9:44:04 PM EST","5","4","3","5","4","5",""
"2020/04/14 12:25:25 PM EST","4","4","5","2","2","1",""
"2020/04/14 1:16:48 PM EST","5","3","3","3","4","5",""
"2020/04/14 2:39:13 PM EST","3","1","5","5","4","2",""
"2020/04/14 6:03:35 PM EST","4","3","1","4","3","3",""
"2020/04/14 8:09:11 PM EST","4","3","2","4","4","5",""
"2020/04/15 7:27:31 PM EST","4","5","5","2","3","5",""
"2020/04/16 3:31:29 PM EST","5","4","4","5","5","2",""