"Timestamp","Intelligence","Combat","Speed","Durability","Strength","Power (Non-physical)"
"2020/04/15 9:44:34 PM EST","5","5","5","1","Glass Cannon","5"
"2020/04/15 9:50:10 PM EST","5","4","3","5","3","4"
"2020/04/15 9:50:52 PM EST","5","3","3","5","5","5"
"2020/04/15 9:57:55 PM EST","4","3","3","5","3","5"
"2020/04/15 9:58:53 PM EST","4","3","5","5","3","3"
"2020/04/15 10:01:58 PM EST","3","5","4","3","4","2"
"2020/04/15 10:52:38 PM EST","5","3","5","5","4","5"
"2020/04/16 7:20:01 AM EST","5","4","4","5","4","3"
"2020/04/16 10:07:02 AM EST","5","3","4","5","4","1"
"2020/04/16 10:39:20 AM EST","3","4","3","2","5","5"
"2020/04/16 11:20:02 AM EST","4","3","2","3","4","5"
"2020/04/16 12:47:15 PM EST","2","3","2","5","3","5"